profit_per_user,multi_func_profit_cost,multi_func_worst_profit_cost,multi_func_min_cost_cost,multi_func_max_users_cost,single_func_cost,random_deploy_cost,multi_func_profit_profit,multi_func_worst_profit_profit,multi_func_min_cost_profit,multi_func_max_users_profit,single_func_profit,random_deploy_profit,multi_func_profit_users,multi_func_worst_profit_users,multi_func_min_cost_users,multi_func_max_users_users,single_func_users,random_deploy_users
550.63,31528.0,69580.14,31528.0,69580.14,34790.07,34790.07,-30977.37,-68478.88,-30977.37,-68478.88,-34239.44,-34239.44,1.0,2.0,1.0,2.0,1.0,1.0
551.24,31262.4,78959.52,31262.4,78959.52,59219.64,59219.64,-29057.44,-74549.6,-29057.44,-74549.6,-55912.2,-55912.2,4.0,8.0,4.0,8.0,6.0,6.0
551.71,59542.0,61684.15,59542.0,59542.0,61684.15,61684.15,-58990.29,-61132.44,-58990.29,-58990.29,-61132.44,-61132.44,1.0,1.0,1.0,1.0,1.0,1.0
552.47,81556.52,83926.27,81556.52,82801.75,83926.27,83926.27,-81004.05,-83373.8,-81004.05,-82249.28,-83373.8,-83373.8,1.0,1.0,1.0,1.0,1.0,1.0
554.04,38425.39,131361.12,38425.39,131361.12,44171.34,54055.32,-35655.19,-120834.36,-35655.19,-120834.36,-41401.14,-50177.04,5.0,19.0,5.0,19.0,5.0,7.0
555.09,27695.92,96314.4,27695.92,96314.4,35557.47,35557.47,-23810.29,-80771.88,-23810.29,-80771.88,-31116.75,-31116.75,7.0,28.0,7.0,28.0,8.0,8.0
555.22,8411.75,42091.51,8411.75,42091.51,14918.11,24069.75,-7301.31,-35428.87,-7301.31,-35428.87,-13252.45,-20738.43,2.0,12.0,2.0,12.0,3.0,6.0
555.99,3621.05,10854.32,3621.05,10854.32,4297.63,4297.63,-3065.06,-8630.36,-3065.06,-8630.36,-3741.64,-3741.64,1.0,4.0,1.0,4.0,1.0,1.0
560.45,10595.3,121134.0,10595.3,121134.0,11517.33,11517.33,-10034.85,-112727.25,-10034.85,-112727.25,-10956.88,-10956.88,1.0,15.0,1.0,15.0,1.0,1.0
571.25,4639.86,33433.4,4639.86,33433.4,8322.51,8322.51,-4068.61,-27149.65,-4068.61,-27149.65,-7751.26,-7751.26,1.0,11.0,1.0,11.0,1.0,1.0
571.41,14271.6,28948.49,14271.6,27534.4,28948.49,28948.49,-12557.37,-26091.44,-12557.37,-24677.35,-26091.44,-26091.44,3.0,5.0,3.0,5.0,5.0,5.0
575.45,3300.41,28583.8,3300.41,28583.8,4813.02,4362.52,-2724.96,-18801.15,-2724.96,-18801.15,-4237.57,-3787.07,1.0,17.0,1.0,17.0,1.0,1.0
576.91,17498.9,149557.8,17498.9,149557.8,17498.9,149557.8,-16345.08,-137442.69,-16345.08,-137442.69,-16345.08,-137442.69,2.0,21.0,2.0,21.0,2.0,21.0
581.4,146242.86,148962.36,146242.86,148519.5,148962.36,148962.36,-145661.46,-148380.96,-145661.46,-147938.1,-148380.96,-148380.96,1.0,1.0,1.0,1.0,1.0,1.0
584.8,14498.4,33842.66,14028.26,33842.66,23986.39,17989.8,-12159.2,-29164.26,-12273.86,-29164.26,-21647.19,-16235.4,4.0,8.0,3.0,8.0,4.0,3.0
585.48,16854.31,156731.4,16854.31,156731.4,18241.01,18241.01,-15683.35,-144436.32,-15683.35,-144436.32,-17070.05,-17070.05,2.0,21.0,2.0,21.0,2.0,2.0
589.1,12709.2,33483.53,12709.2,33483.53,15068.98,15068.98,-11531.0,-30538.03,-11531.0,-30538.03,-13890.78,-13890.78,2.0,5.0,2.0,5.0,2.0,2.0
591.18,21939.95,23047.84,21939.95,21939.95,23047.84,23047.84,-21348.77,-22456.66,-21348.77,-21348.77,-22456.66,-22456.66,1.0,1.0,1.0,1.0,1.0,1.0
596.39,16598.4,51936.59,16598.4,51375.01,36681.27,30224.7,-11827.28,-45972.69,-11827.28,-41236.38,-33699.32,-27242.75,8.0,10.0,8.0,17.0,5.0,5.0
604.27,6372.5,12924.8,6372.5,12924.8,6372.5,6372.5,-4559.69,-8090.64,-4559.69,-8090.64,-4559.69,-4559.69,3.0,8.0,3.0,8.0,3.0,3.0
609.31,34927.22,130575.2,34927.22,130575.2,40748.42,34927.22,-31271.36,-113514.52,-31271.36,-113514.52,-36483.25,-31271.36,6.0,28.0,6.0,28.0,7.0,6.0
613.36,19236.0,47284.45,19236.0,47284.45,47284.45,45815.72,-18622.64,-46057.73,-18622.64,-46057.73,-46057.73,-44589.0,1.0,2.0,1.0,2.0,2.0,2.0
629.0,28308.0,157297.37,28308.0,157297.37,125837.89,125837.89,-27679.0,-154152.37,-27679.0,-154152.37,-123321.89,-123321.89,1.0,5.0,1.0,5.0,4.0,4.0
631.99,10743.2,45980.49,10743.2,47389.04,40871.55,31351.54,-8215.24,-40292.58,-8215.24,-39805.16,-35815.63,-26927.61,4.0,9.0,4.0,12.0,8.0,7.0
633.49,2748.2,20348.49,2748.2,20348.49,20348.49,20348.49,-2114.71,-17181.04,-2114.71,-17181.04,-17181.04,-17181.04,1.0,5.0,1.0,5.0,5.0,5.0
