test_data_id,multi_func_profit_info,multi_func_time,compute_first_info,compute_first_time,memory_first_info,memory_first_time,single_func_info,single_func_time,random_deploy_info,random_deploy_time
33,"[285.08, 1898.92, 8, [(0, 1), (1, 5), (2, 12), (3, 11)]]",0.259,"[35.64, 237.36, 1.0, [(0, 2), (1, 12), (2, 2), (3, 12)]]",0.0005,"[71.27, 474.73, 2.0, [(0, 11), (1, 7), (2, 11), (3, 4)]]",0.0015,"[34.64, 238.36, 1, [(0, 1), (1, 1), (2, 1), (3, 1)]]",0.0,"[106.91, 712.09, 3, [(0, 1), (1, 2), (2, 4), (3, 9)]]",0.0
34,"[297.09, 1117.91, 5, [(0, 4), (1, 5), (2, 3)]]",0.003,"[118.84, 447.16, 2.0, [(0, 1), (1, 3), (2, 1)]]",0.0005,"[178.25, 670.75, 3, [(0, 3), (1, 5), (2, 3)]]",0.0,"[49.34, 233.66, 1, [(0, 1), (1, 1), (2, 1)]]",0.0,"[59.42, 223.58, 1, [(0, 4), (1, 6), (2, 4)]]",0.0
35,"[221.23, 2706.77, 8, [(0, 3), (1, 6)]]",0.0,"[193.58, 2368.42, 7, [(0, 6), (1, 5)]]",0.0,"[221.23, 2706.77, 8, [(0, 6), (1, 3)]]",0.0,"[24.68, 341.32, 1, [(0, 1), (1, 1)]]",0.0,"[221.23, 2706.77, 8, [(0, 6), (1, 3)]]",0.0
36,"[230.27, 537.73, 2, [(0, 2), (1, 2), (2, 2), (3, 7), (4, 7)]]",0.1062,"[131.45, 252.55, 1, [(0, 6), (1, 2), (2, 6), (3, 2), (4, 6)]]",0.0005,"[262.91, 505.09, 2, [(0, 7), (1, 6), (2, 7), (3, 2), (4, 7)]]",0.0,"[110.63, 273.37, 1, [(0, 7), (1, 7), (2, 7), (3, 7), (4, 7)]]",0.0,"[262.91, 505.09, 2, [(0, 2), (1, 7), (2, 2), (3, 6), (4, 4)]]",0.0
37,"[240.47, 3829.53, 10, [(0, 2), (1, 4)]]",0.001,"[192.38, 3063.62, 8, [(0, 3), (1, 2)]]",0.0,"[192.38, 3063.62, 8, [(0, 4), (1, 2)]]",0.0,"[58.82, 1162.18, 3, [(0, 1), (1, 1)]]",0.0,"[78.43, 1549.57, 4, [(0, 3), (1, 3)]]",0.0
38,"[132.21, 611.79, 2, [(0, 3), (1, 3), (2, 3)]]",0.001,"[138.57, 605.43, 2, [(0, 3), (1, 4), (2, 3)]]",0.0,"[138.57, 605.43, 2, [(0, 3), (1, 1), (2, 6)]]",0.001,"[132.21, 611.79, 2, [(0, 3), (1, 3), (2, 3)]]",0.0,"[67.59, 304.41, 1, [(0, 1), (1, 1), (2, 2)]]",0.0
39,"[382.52, 2131.48, 6, [(0, 2), (1, 8), (2, 7)]]",0.0095,"[191.26, 1065.74, 3, [(0, 5), (1, 8), (2, 5)]]",0.0005,"[318.76, 1776.24, 5, [(0, 2), (1, 8), (2, 2)]]",0.0,"[62.29, 356.71, 1, [(0, 1), (1, 1), (2, 1)]]",0.0,"[63.75, 355.25, 1, [(0, 9), (1, 3), (2, 8)]]",0.0
40,"[277.07, 3556.93, 9, [(0, 1), (1, 5)]]",0.001,"[277.07, 3556.93, 9, [(0, 1), (1, 5)]]",0.0,"[30.79, 395.21, 1.0, [(0, 5), (1, 2)]]",0.0,"[109.14, 1594.86, 4, [(0, 1), (1, 1)]]",0.0,"[61.57, 790.43, 2, [(0, 3), (1, 4)]]",0.0
41,"[181.69, 754.31, 2, [(0, 2), (1, 1), (2, 1), (3, 1)]]",0.015,"[103.57, 364.43, 1.0, [(0, 5), (1, 1), (2, 5), (3, 1)]]",0.0,"[103.57, 364.43, 1.0, [(0, 1), (1, 5), (2, 1), (3, 5)]]",0.0,"[87.25, 380.75, 1, [(0, 1), (1, 1), (2, 1), (3, 1)]]",0.0,"[103.57, 364.43, 1, [(0, 5), (1, 1), (2, 4), (3, 5)]]",0.0
42,"[359.93, 1011.07, 3, [(0, 1), (1, 1), (2, 4), (3, 4)]]",0.0105,"[246.11, 667.89, 2.0, [(0, 4), (1, 3), (2, 4), (3, 5)]]",0.0,"[246.11, 667.89, 2, [(0, 4), (1, 1), (2, 4), (3, 1)]]",0.001,"[118.5, 338.5, 1, [(0, 1), (1, 1), (2, 1), (3, 1)]]",0.0,"[246.11, 667.89, 2.0, [(0, 5), (1, 3), (2, 1), (3, 4)]]",0.0
43,"[452.82, 1555.18, 8, [(0, 6), (1, 10), (2, 5)]]",0.0145,"[113.21, 388.79, 2.0, [(0, 4), (1, 5), (2, 4)]]",0.001,"[226.41, 777.59, 4, [(0, 10), (1, 5), (2, 10)]]",0.0,"[49.32, 201.68, 1, [(0, 1), (1, 1), (2, 1)]]",0.0,"[113.21, 388.79, 2, [(0, 11), (1, 3), (2, 8)]]",0.0
44,"[294.27, 1037.73, 3, [(0, 2), (1, 2), (2, 3), (3, 6), (4, 7)]]",0.33,"[99.31, 344.69, 1, [(0, 6), (1, 4), (2, 6), (3, 4), (4, 6)]]",0.0,"[99.31, 344.69, 1.0, [(0, 2), (1, 7), (2, 6), (3, 2), (4, 4)]]",0.0,"[94.33, 349.67, 1, [(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]]",0.0,"[99.31, 344.69, 1, [(0, 8), (1, 7), (2, 5), (3, 4), (4, 6)]]",0.0
45,"[431.38, 1932.62, 6, [(0, 8), (1, 8), (2, 10)]]",0.0135,"[150.75, 637.25, 2.0, [(0, 1), (1, 4), (2, 1)]]",0.0,None,0.0,"[201.11, 980.89, 3, [(0, 1), (1, 1), (2, 1)]]",0.0,"[150.75, 637.25, 2, [(0, 6), (1, 5), (2, 6)]]",0.0
